ESTABLECIMIENTO,LON,LAT
CAMIS ACACIAS,-73.7725094,4.008005698
CMPS JERICO,-75.7844907,5.7917341
CMS BARRANQUILLA,-74.8221034,10.9529736
CMS SANTA FE DE ANTIOQUIA,-75.8254856,6.5545659
COMPLEJO CARCELARIO  Y PENITENCIARIO  DE IBAGUE-PICALEÑA-CONDENADOS,-75.1518407,4.4031351
COMPLEJO CARCELARIO  Y PENITENCIARIO  DE IBAGUE-PICALEÑA-MUJERES,-75.1518407,4.4031351
COMPLEJO CARCELARIO  Y PENITENCIARIO  DE IBAGUE-PICALEÑA-SINDICADOS,-75.1518407,4.4031351
COMPLEJO CARCELARIO Y PENITENCIARIO DE JAMUNDI-CONDENADOS,-76.503341,3.253816
COMPLEJO CARCELARIO Y PENITENCIARIO DE JAMUNDI-R. MUJERES,-76.503341,3.253816
COMPLEJO CARCELARIO Y PENITENCIARIO DE JAMUNDI-SINDICADOS,-76.503341,3.253816
COMPLEJO CARCELARIO Y PENITENCIARIO DE MEDELLIN-PEDREGAL-MUJERES,-75.628127,6.28369
COMPLEJO CARCELARIO Y PENITENCIARIO DE MEDELLIN-PEDREGAL-SINDICADOS,-75.628127,6.28369
COMPLEJO CARCELARIO Y PENITENCIARIO METROPOLITANO DE BOGOTA,-74.119032,4.547529
COMPLEJO CARCELARIO Y PENITENCIARIO METROPOLITANO DE CUCUTA - CONDENADOS,-72.489798,7.940215
COMPLEJO CARCELARIO Y PENITENCIARIO METROPOLITANO DE CUCUTA - MUJERES,-72.489798,7.940215
COMPLEJO CARCELARIO Y PENITENCIARIO METROPOLITANO DE CUCUTA - SINDICADOS,-72.489798,7.940215
COMPLEJO IBAGUE - PICALEÑA,-75.150698,4.404144
CPAMS LA PAZ,-75.6435809,6.1709957
CPAMS PALMIRA,-76.3079801,3.5213481
CPMS BUCARAMANGA (ERE),-73.108275,7.114034
CPMS CHIQUINQUIRA,-73.832902,5.593034398
CPMS CHOCONTA,-73.685587,5.145277698
CPMS ESPINAL,-74.877433,4.145991
CPMS FUSAGASUGA,-74.3633169,4.342786098
CPMS GACHETA,-73.6366977,4.817343798
CPMS GARAGOA,-73.3641162,5.081545398
CPMS LA MESA,-74.4635336,4.632762198
CPMS MELGAR,-74.6436185,4.204272798
CPMS MONIQUIRA,-73.5786555,5.890159798
CPMS PAZ DE ARIPORO,-71.8919564,5.880468698
CPMS PUERTO TRIUNFO,-74.7254828,5.906021
CPMS PURIFICACION,-74.9266585,3.859649098
CPMS SAN VICENTE DE CHUCURI,-73.4181467,6.8809921
CPMS SANTO DOMINGO,-75.1636774,6.4716837
CPMS TULUA,-76.1904645,4.0932286
CPMS TUNJA,-73.3491005,5.540401498
CPMS UBATE,-73.8152779,5.306924698
EC ARMERO-GUAYABAL,-74.8889159,5.0283249
EC BOGOTA,-74.0723106,4.682237798
EC PEDREGAL MEDELLIN,-75.62758,6.283637
EC SABANALARGA (ERE),-74.9153906,10.6358662
EP LAS HELICONIAS DE FLORENCIA,-75.6400699,1.569030298
EPAMS GIRON,-73.1394303,6.9767266
EPAMS LA DORADA,-74.6805658,5.4808646
EPAMSCAS COMBITA,-73.2693754,5.673702298
EPAMSCAS POPAYAN (ERE),-76.6060996,2.432518
EPAMSCAS VALLEDUPAR (ERM),-73.3075994,10.4464547
EPC COMBITA-MEDIANA SEGURIDAD-BARNE,-73.265396,5.679011
EPC GUAMO,-74.9679726,4.031754398
EPC JAMUNDI,-76.5053263,3.256622
EPC LA ESPERANZA DE GUADUAS,-74.6870945,5.166226798
EPC YOPAL,-72.4552686,5.284453298
EPMS RAMIRIQUI,-73.3339119,5.400598098
EPMS SAN GIL,-73.1466723,6.5546079
EPMS ZAPATOCA,-73.139053,6.977197
EPMSC ACACIAS,-73.7836996,4.012305198
EPMSC AGUACHICA,-73.6259428,8.303468
EPMSC AGUADAS,-75.4570481,5.615524
EPMSC ANDES,-75.8814016,5.654052
EPMSC ANSERMA,-75.7883986,5.2262972
EPMSC APARTADO,-76.6513002,7.804924
EPMSC ARAUCA,-70.762167,7.0822316
EPMSC ARMENIA,-75.6915817,4.5207599
EPMSC BARRANCABERMEJA,-73.8723547,7.0604766
EPMSC BARRANQUILLA,-74.8221034,10.9529736
EPMSC BOLIVAR-ANTIOQUIA,-76.0092088,5.8457482
EPMSC BOLIVAR-CAUCA,-76.9685612,1.831929
EPMSC BUENAVENTURA,-77.012988,3.8815127
EPMSC BUGA,-76.2959611,3.921484
EPMSC CAICEDONIA,-75.8357827,4.339707
EPMSC CALARCA,-75.6516114,4.5170833
EPMSC CALI (ERE),-76.5117744,3.4321816
EPMSC CALOTO,-76.409441,3.03627
EPMSC CAQUEZA,-73.9454341,4.405732098
EPMSC CARTAGENA,-75.4654848,10.3816331
EPMSC CARTAGO,-75.9104124,4.740523
EPMSC CAUCASIA,-75.200386,7.9797654
EPMSC CHAPARRAL,-75.47373,3.721844198
